screen,depmap_id,lineage,lineage_subtype,is_male,primary_or_metastasis,age,replicate_id,p_dna_batch,n_genes
broad,ACH-000182,bile_duct,cholangiocarcinoma,NA,NA,NA,SNU869-311Cas9_RepA_p4_batch3,3,18119
broad,ACH-000209,bile_duct,cholangiocarcinoma,TRUE,NA,NA,SNU-1079-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000377,bile_duct,cholangiocarcinoma,NA,NA,NA,SNU-478-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000461,bile_duct,cholangiocarcinoma,NA,NA,NA,SNU1196-311cas9_RepB_p6_batch3,3,18119
broad,ACH-000976,bile_duct,cholangiocarcinoma,TRUE,metastasis,NA,HuCCT1-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001494,bile_duct,cholangiocarcinoma,TRUE,primary,52,EGI1-311cas9_RepA_p6_batch3,3,18119
sanger,ACH-001494,bile_duct,cholangiocarcinoma,TRUE,primary,52,EGI1_c903R1,ERS717283.plasmid,17660
broad,ACH-001536,bile_duct,cholangiocarcinoma,FALSE,primary,65,KKU100-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001538,bile_duct,cholangiocarcinoma,TRUE,primary,58,KKU213-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001673,bile_duct,cholangiocarcinoma,TRUE,primary,63,TFK1-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001834,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC10-311cas9_RepA_p6_batch4,4,18119
broad,ACH-001835,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC106-311cas9-RepA-p5_batch4,4,18119
broad,ACH-001836,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC108-311cas9-RepA-p4_batch3,3,18119
broad,ACH-001838,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC12-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001839,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC137-311cas9-RepA-p4_batch4,4,18119
broad,ACH-001841,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC15-311cas9-RepA-p5_batch3,3,18119
broad,ACH-001842,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC2-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001843,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC3-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001844,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC4-311Cas9-RepA-P5_batch4,4,18119
broad,ACH-001848,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC8-311cas9_RepA_p4_batch3,3,18119
broad,ACH-001849,bile_duct,cholangiocarcinoma,NA,NA,NA,ICC9-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001852,bile_duct,cholangiocarcinoma,TRUE,NA,NA,HKGZCC-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001853,bile_duct,cholangiocarcinoma,TRUE,NA,NA,KMCH1-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001856,bile_duct,cholangiocarcinoma,FALSE,NA,NA,RBE-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001857,bile_duct,cholangiocarcinoma,TRUE,NA,NA,SG231-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001858,bile_duct,cholangiocarcinoma,FALSE,NA,NA,SSP25-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001862,bile_duct,cholangiocarcinoma,TRUE,NA,NA,TGBC52TKB-311cas9-RepA-p6_batch4,4,18119
broad,ACH-001863,bile_duct,cholangiocarcinoma,TRUE,NA,NA,TKKK-311CAS9-REPA-P5_batch4,4,18119
broad,ACH-001864,bile_duct,cholangiocarcinoma,FALSE,NA,NA,YSCCC-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001959,bile_duct,cholangiocarcinoma,FALSE,NA,NA,CCLP1-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001960,bile_duct,cholangiocarcinoma,FALSE,NA,NA,CCSW1-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001997,bile_duct,cholangiocarcinoma,NA,NA,NA,ECC2-311cas9-RepA-p6_batch3,3,18119
broad,ACH-000141,bile_duct,gallbladder_adenocarcinoma,NA,NA,NA,SNU308-311Cas9_RepA_p5_batch3,3,18119
broad,ACH-001607,bile_duct,gallbladder_adenocarcinoma,FALSE,metastasis,48,NOZ-311cas9_RepA_p5_batch3,3,18119
broad,ACH-001619,bile_duct,gallbladder_adenocarcinoma,TRUE,metastasis,43,OCUG1-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001850,bile_duct,gallbladder_adenocarcinoma,TRUE,metastasis,NA,G415-311cas9-RepA-p6_batch4,4,18119
broad,ACH-001861,bile_duct,gallbladder_adenocarcinoma,FALSE,metastasis,NA,TGBC1TKB-311cas9-RepAB-p6_batch4,4,18119
broad,ACH-001961,bile_duct,gallbladder_adenocarcinoma,NA,metastasis,65,GB2-311cas9-RepA-p6_batch4,4,18119
broad,ACH-000070,blood,ALL,TRUE,primary,12,697-311CAS9_RepA_p6_batch3,3,18119
broad,ACH-000101,blood,ALL,TRUE,NA,27,KE37-311Cas9-RepA-p6_batch4,4,18119
broad,ACH-000151,blood,ALL,TRUE,NA,NA,JM1-311cas9_RepA_p6_batch3,3,18119
broad,ACH-000782,blood,ALL,FALSE,primary,5,SEM-311cas9_RepA_p6_batch3,3,18119
broad,ACH-000922,blood,ALL,FALSE,NA,8,RCHACV-311Cas9_RepB_p6_batch4,4,18119
broad,ACH-000937,blood,ALL,FALSE,NA,6,PF382-311CAS9_RepA_p6_batch3,3,18119
broad,ACH-000938,blood,ALL,TRUE,primary,19,NALM-6-311CAS9_RepA_p6_batch3,3,18119
broad,ACH-000953,blood,ALL,TRUE,metastasis,8,SUPT1-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000960,blood,ALL,FALSE,primary,15,Reh-311cas9_RepA_p5_batch3,3,18119
broad,ACH-000995,blood,ALL,TRUE,primary,NA,JURKAT-311Cas9-RepA-p6_batch4,4,18119
sanger,ACH-001639,blood,ALL,TRUE,primary,69,ROS50_c905R4,CRISPR_C6596666.sample,17660
broad,ACH-001735,blood,ALL,FALSE,NA,5,SEMK2-311Cas9_RepA_p3_batch3,3,18119
broad,ACH-001736,blood,ALL,NA,NA,NA,HB11;19-311CAS9_RepA_p6_batch3,3,18119
broad,ACH-001737,blood,ALL,NA,NA,11,HSB-2-311cas9_RepB_p4_batch3,3,18119
broad,ACH-001993,blood,ALL,FALSE,NA,12,NALM16-311CAS9-RepA-p6_batch4,4,18119
broad,ACH-002059,blood,ALL,FALSE,primary,11,P30OHK-311cas9-RepA-p6_batch4,4,18119
broad,ACH-000004,blood,AML,TRUE,NA,30,HEL-311Cas9_RepA_p4_batch3,3,18119
broad,ACH-000005,blood,AML,TRUE,NA,30,HEL9217-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000045,blood,AML,TRUE,primary,10,MV4;11-311Cas9_RepA_p6_batch2,2,18119
broad,ACH-000113,blood,AML,TRUE,primary,65,OCI-AML2-311cas9_RepA_p6_batch3,3,18119
sanger,ACH-000113,blood,AML,TRUE,primary,65,AML2_c905R1,CRISPR_C6596666.sample,17660
broad,ACH-000146,blood,AML,TRUE,primary,1,THP-1 AVANA-4 Rep A p5_batch3,3,18119
broad,ACH-000168,blood,AML,FALSE,primary,31,NOMO-1-311Cas9_RepA_p4_batch2,2,18119
broad,ACH-000195,blood,AML,FALSE,NA,71,set2-311cas9-RepA-p6_batch4,4,18119
broad,ACH-000198,blood,AML,TRUE,NA,33,EOL1-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000263,blood,AML,TRUE,primary,7,KASUMI-1-311cas9_RepA_p6_batch3,3,18119
broad,ACH-000294,blood,AML,FALSE,primary,23,NB-4-311cas9 Rep A p6_batch3,3,18119
broad,ACH-000336,blood,AML,TRUE,primary,57,OCIAML3-311CAS9_RepA_p6_batch3,3,18119
sanger,ACH-000336,blood,AML,TRUE,primary,57,AML3_c905R1,CRISPR_C6596666.sample,17660
broad,ACH-000362,blood,AML,TRUE,primary,20,MOLM-13-311cas9 Rep A p5_batch3,3,18119
broad,ACH-000387,blood,AML,TRUE,NA,35,TF-1-311cas9 Rep A p5_20150925_batch3,3,18119
broad,ACH-000406,blood,AML,TRUE,metastasis,37,U937-101Cas9 Rep A p6_batch3,3,18119
broad,ACH-000487,blood,AML,TRUE,metastasis,68,F36P-311cas9_RepA_p6_batch3,3,18119
broad,ACH-000498,blood,AML,TRUE,NA,46,KO52-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000557,blood,AML,FALSE,primary,13,AML193-311cas9_RepA_p6_batch3,3,18119
broad,ACH-000602,blood,AML,FALSE,NA,0.5,M07E-311cas9-RepA-p6_batch4,4,18119
broad,ACH-000770,blood,AML,TRUE,NA,NA,P31FUJ-311Cas9 Rep B p6_batch3,3,18119
broad,ACH-001036,blood,AML,TRUE,NA,NA,CMK115-311Cas9-RepA-P6_batch4,4,18119
broad,ACH-001129,blood,AML,TRUE,primary,64,MONO-MAC1-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001574,blood,AML,TRUE,primary,20,MOLM14-311cas9-RepA-p6_batch4,4,18119
broad,ACH-001577,blood,AML,FALSE,primary,63,MUTZ8-311cas9-RepA-p6_batch4,4,18119
broad,ACH-001618,blood,AML,NA,primary,56,OCIM2-311cas9-RepA-p5_batch3,3,18119
broad,ACH-001647,blood,AML,TRUE,metastasis,37,SHI1-311cas9-RepA-p6_batch3,3,18119
broad,ACH-001656,blood,AML,TRUE,metastasis,NA,SKNO1-311cas9_RepA_p6_batch4,4,18119
broad,ACH-000346,blood,CLL,TRUE,NA,73,JVM3-311cas9_RepA_p6_batch4,4,18119
broad,ACH-000405,blood,CLL,TRUE,NA,61,MEC1MEC2-311cas9_RepA_p6_batch4,4,18119
broad,ACH-001634,blood,CLL,TRUE,primary,NA,PGA1-311cas9-RepA-p4_batch4,4,18119
broad,ACH-001707,blood,CLL,TRUE,primary,NA,WAOSEL-311cas9-RepA-p6_batch4,4,18119
broad,ACH-000074,blood,CML,TRUE,NA,38,KU812-311cas9-RepA-p6_batch3,3,18119
broad,ACH-000076,blood,CML,FALSE,NA,35,NCO2-311cas9_RepA_p5_batch3,3,18119
broad,ACH-000295,blood,CML,FALSE,NA,5,EM-2-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000326,blood,CML,TRUE,NA,73,JURLMK1-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000551,blood,CML,FALSE,metastasis,53,K562-311CAs9-RepA-p6_batch3,3,18119
broad,ACH-000604,blood,CML,TRUE,NA,22,KYO1-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-000983,blood,CML,FALSE,NA,32,KCL22-311Cas9_RepA_p6_batch3,3,18119
broad,ACH-001484,blood,unspecified_leukemia,FALSE,primary,47,CI-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001485,blood,unspecified_leukemia,FALSE,primary,47,CII-311cas9_RepA_p6_batch3,3,18119
broad,ACH-001520,blood,unspecified_leukemia,TRUE,primary,70,HG3-311cas9-RepA-p6_batch3,3,18119
broad,ACH-000516,bone,chondrosarcoma,TRUE,NA,76,CAL-78-311CAS9_RepA_p5_batch3,3,18119
broad,ACH-001955,bone,chordoma,FALSE,NA,NA,JHC-7-311cas9_RepB_p4_batch3,3,18119
broad,ACH-001956,bone,chordoma,FALSE,NA,57,Mug-Chor-1-311Cas9 Rep A p5_batch2,2,18119
broad,ACH-001957,bone,chordoma,TRUE,NA,64,UM-Chor1-311Cas9 Rep A p5_batch2,2,18119
broad,ACH-002204,bone,chordoma,FALSE,NA,NA,U-CH2-311Cas9_RepA_p3_batch3,3,18119
broad,ACH-000039,bone,Ewing_sarcoma,FALSE,metastasis,14,SK-N-MC-311cas9 Rep A p5_batch3,3,18119
broad,ACH-000041,bone,Ewing_sarcoma,TRUE,primary,19,RD-ES-311Cas9_RepA_p6_batch3,3,18119
